time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-19T20:00:00.000000000Z,1.10445,1.10453,1.10444,1.10447,1.10430,1.10441,1.10430,1.10433,True,22
2019-09-19T20:15:00.000000000Z,1.10449,1.10449,1.10430,1.10442,1.10437,1.10437,1.10417,1.10429,True,28
2019-09-19T20:30:00.000000000Z,1.10443,1.10454,1.10439,1.10447,1.10431,1.10442,1.10423,1.10434,True,33
2019-09-19T20:45:00.000000000Z,1.10418,1.10441,1.10406,1.10441,1.10397,1.10428,1.10388,1.10428,True,64
2019-09-19T21:00:00.000000000Z,1.10465,1.10486,1.10427,1.10428,1.10398,1.10406,1.10376,1.10398,True,29
2019-09-19T21:15:00.000000000Z,1.10458,1.10459,1.10433,1.10457,1.10400,1.10404,1.10392,1.10398,True,14
2019-09-19T21:30:00.000000000Z,1.10438,1.10455,1.10427,1.10451,1.10396,1.10405,1.10389,1.10400,True,15
2019-09-19T21:45:00.000000000Z,1.10430,1.10458,1.10426,1.10431,1.10405,1.10426,1.10398,1.10398,True,36
2019-09-19T22:00:00.000000000Z,1.10423,1.10449,1.10418,1.10428,1.10407,1.10413,1.10398,1.10402,True,59
2019-09-19T22:15:00.000000000Z,1.10426,1.10430,1.10405,1.10421,1.10410,1.10415,1.10391,1.10405,True,63
2019-09-19T22:30:00.000000000Z,1.10442,1.10445,1.10419,1.10423,1.10428,1.10430,1.10403,1.10408,True,45
2019-09-19T22:45:00.000000000Z,1.10456,1.10459,1.10444,1.10444,1.10442,1.10444,1.10430,1.10430,True,30
2019-09-19T23:00:00.000000000Z,1.10458,1.10462,1.10453,1.10459,1.10444,1.10449,1.10440,1.10445,True,32
2019-09-19T23:15:00.000000000Z,1.10455,1.10461,1.10450,1.10455,1.10442,1.10446,1.10437,1.10442,True,21
2019-09-19T23:30:00.000000000Z,1.10458,1.10460,1.10450,1.10453,1.10444,1.10446,1.10436,1.10439,True,13
2019-09-19T23:45:00.000000000Z,1.10454,1.10466,1.10452,1.10460,1.10441,1.10453,1.10438,1.10446,True,26
2019-09-20T00:00:00.000000000Z,1.10482,1.10492,1.10446,1.10451,1.10469,1.10479,1.10433,1.10438,True,116
2019-09-20T00:15:00.000000000Z,1.10511,1.10514,1.10475,1.10479,1.10498,1.10501,1.10462,1.10467,True,64
2019-09-20T00:30:00.000000000Z,1.10486,1.10509,1.10473,1.10509,1.10472,1.10496,1.10459,1.10496,True,107
2019-09-20T00:45:00.000000000Z,1.10513,1.10526,1.10481,1.10483,1.10501,1.10513,1.10467,1.10470,True,73
2019-09-20T01:00:00.000000000Z,1.10527,1.10530,1.10509,1.10511,1.10513,1.10517,1.10496,1.10499,True,79
